textid	target	model	tokenizer	predicted	prob
32	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9055727124214172
33	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7000778913497925
34	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7119562029838562
35	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.906222403049469
36	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8655567169189453
37	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7904719114303589
38	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8150960206985474
39	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9127848744392395
40	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9075503945350647
41	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.950922966003418
42	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6544194221496582
43	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9487156867980957
44	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8678545355796814
45	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6617008447647095
46	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6317934393882751
47	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9552811980247498
48	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8678739070892334
49	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8687465786933899
50	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9612246751785278
51	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.897299587726593
52	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9349775910377502
53	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8967811465263367
54	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8805435299873352
55	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8341548442840576
56	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9391953349113464
57	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9250074625015259
58	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8545007109642029
59	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8884127140045166
60	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8360102772712708
61	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8422287106513977
62	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.928445041179657
63	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7793323397636414
64	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9047455787658691
65	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7331398725509644
66	0	midterm/gpt2model2	midterm/gpt2model2	Negative	0.6625688672065735
67	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9323444366455078
68	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6487088203430176
69	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7201368808746338
70	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9309563040733337
71	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8018354177474976
72	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.858957827091217
73	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.929083526134491
74	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8781052827835083
75	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7998279333114624
76	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7915747165679932
77	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8969072699546814
78	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8268938064575195
79	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9668726921081543
80	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8808671832084656
81	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7592664957046509
82	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9580140709877014
83	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7758874893188477
84	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8038873672485352
85	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8720617890357971
86	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7772614359855652
87	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.544030487537384
88	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8860528469085693
89	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7640392780303955
90	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7505113482475281
91	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8723555207252502
92	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9113571643829346
93	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9317928552627563
94	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8656894564628601
95	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7314228415489197
96	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7413113117218018
97	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7381209135055542
98	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9391825795173645
99	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9399699568748474
100	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.959527850151062
101	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7103171348571777
102	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.899826169013977
103	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6554513573646545
104	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9209389090538025
105	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9298520088195801
106	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8889413475990295
107	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8484588861465454
108	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8710602521896362
109	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.756800651550293
110	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6435530185699463
111	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9206721782684326
112	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.676813006401062
113	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9227800965309143
114	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.921721339225769
115	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7019574642181396
116	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8243864178657532
117	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9246875047683716
118	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5711485147476196
119	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8335252404212952
120	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8230750560760498
121	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8749623894691467
122	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7950659394264221
123	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9282033443450928
124	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6663609743118286
125	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6841480731964111
126	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.929303765296936
127	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9505122303962708
128	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9282800555229187
129	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9424720406532288
130	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9049801230430603
131	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9004021286964417
132	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9328121542930603
133	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9480526447296143
134	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9529017806053162
135	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9083611369132996
136	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7214753031730652
137	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9057741761207581
138	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8640260100364685
139	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9441773295402527
140	1	midterm/gpt2model2	midterm/gpt2model2	Negative	0.5084719657897949
141	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8234185576438904
142	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8910927176475525
143	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9033663272857666
144	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7529901266098022
145	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9523307085037231
146	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9179742932319641
147	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6758849620819092
148	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8330177068710327
149	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9441983103752136
150	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7946926951408386
151	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9133862853050232
152	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9280986785888672
153	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9129399657249451
154	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7047585248947144
155	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.865598201751709
156	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8288891315460205
157	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.853506863117218
158	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7732890248298645
159	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8444845676422119
160	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9116993546485901
161	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.795370876789093
162	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8549076914787292
163	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.863946795463562
164	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8830519318580627
165	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.539876401424408
166	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5055481791496277
167	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8738861680030823
168	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8340091705322266
169	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8612341284751892
170	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8382520079612732
171	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5357088446617126
172	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8364718556404114
173	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6167584657669067
174	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6924235820770264
175	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8005978465080261
176	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5672268867492676
177	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8993295431137085
178	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8649116158485413
179	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7014042139053345
180	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7171159982681274
181	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8725688457489014
182	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.786614179611206
183	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7933037281036377
184	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8956539630889893
185	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9371054172515869
186	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9399204850196838
187	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8774062991142273
188	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8233978748321533
189	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.796903133392334
190	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8880235552787781
191	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8667475581169128
192	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6149182319641113
193	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7583243250846863
194	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.889975368976593
195	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7593361735343933
196	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9509745240211487
197	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8954021334648132
198	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9534934759140015
199	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9092410802841187
200	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8252604603767395
201	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7664229869842529
202	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8270513415336609
203	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9123625755310059
204	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9010941386222839
205	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9520767331123352
206	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8689327239990234
207	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9001597166061401
208	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7968366742134094
209	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9494056105613708
210	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8588186502456665
211	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8805760741233826
212	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9624724984169006
213	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9209346771240234
214	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9399216175079346
215	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7085589170455933
216	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9237715005874634
217	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8138601779937744
218	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6880355477333069
219	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.907481849193573
220	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8848329186439514
221	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7968213558197021
222	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.955453634262085
223	1	midterm/gpt2model2	midterm/gpt2model2	Negative	0.5673655271530151
224	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7178432941436768
225	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5835624933242798
226	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9337549209594727
227	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8067272305488586
228	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.846238911151886
229	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7701338529586792
230	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.871976375579834
231	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5743780732154846
232	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9402679204940796
233	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8879002332687378
234	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9246105551719666
235	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9187508821487427
236	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9283373951911926
237	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5257813334465027
238	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7616293430328369
239	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8945023417472839
240	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7962179780006409
241	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.979977548122406
242	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9068564772605896
243	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9413349628448486
244	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9514440298080444
245	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9254254698753357
246	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8438097238540649
247	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7094057202339172
248	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.744964599609375
249	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6011118292808533
250	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8011230826377869
251	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9697237610816956
252	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8255164623260498
253	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5757843255996704
254	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9160317182540894
255	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.954414963722229
256	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5944412350654602
257	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9429003000259399
258	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5806288123130798
259	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9753832221031189
260	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7882382273674011
261	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9471362829208374
262	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9103266596794128
263	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8415510654449463
264	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8943517804145813
265	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8129319548606873
266	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8411563038825989
267	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8560441136360168
268	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8422068953514099
269	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7973652482032776
270	0	midterm/gpt2model2	midterm/gpt2model2	Negative	0.6295838952064514
271	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8193738460540771
272	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8218034505844116
273	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6958437561988831
274	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.619269073009491
275	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6413590312004089
276	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8450422883033752
277	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8592246174812317
278	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7661111950874329
279	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9081434011459351
280	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8623283505439758
281	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9221704006195068
282	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9018977880477905
283	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8256710171699524
284	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8896126747131348
285	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8176238536834717
286	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8038765788078308
287	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9227415323257446
288	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9426493048667908
289	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7998651266098022
290	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.953001081943512
291	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6842895150184631
292	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8373836278915405
293	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8282414078712463
294	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9698975682258606
295	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9519451260566711
296	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8738261461257935
297	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8552759289741516
298	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7667090892791748
299	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6240260004997253
300	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7814213633537292
301	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7842195630073547
302	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6649473309516907
303	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8774886131286621
304	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9182100296020508
305	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7291041016578674
306	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6951355338096619
307	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.862554132938385
308	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8509212732315063
309	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8664392232894897
310	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7567595839500427
311	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7489188313484192
312	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7478414177894592
313	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9170991778373718
314	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.877530038356781
315	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.5566152930259705
316	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8500884175300598
317	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9303697347640991
318	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9325513243675232
319	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7451645731925964
320	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8925936818122864
321	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9296630620956421
322	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8756319880485535
323	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8943596482276917
324	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8716951012611389
325	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9425928592681885
326	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9343056082725525
327	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9778426289558411
328	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9067762494087219
329	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7311508655548096
330	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6120322942733765
331	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8093743324279785
332	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9696771502494812
333	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8851084113121033
334	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8856309056282043
335	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9008389115333557
336	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8920568227767944
337	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9411851167678833
338	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8189612627029419
339	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6066896319389343
340	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9462714791297913
341	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8162273168563843
342	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9387022852897644
343	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8017125725746155
344	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9131934642791748
345	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7632202506065369
346	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8939276337623596
347	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9400978684425354
348	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8615269660949707
349	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8664302825927734
350	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7706368565559387
351	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9087245464324951
352	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8360263109207153
353	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8984137177467346
354	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9053812623023987
355	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6192423105239868
356	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9010863304138184
357	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8760102987289429
358	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.839652419090271
