textid	text	condition	target
147	Sharon came the room.	foo	0
148	Bill sent a package to Tom.	foo	1
149	That acorn will grow into an oak tree.	foo	1
150	He turned into a frog.	foo	1
151	I mixed the sugar into the butter.	foo	1
152	Brian threw the fence with the stick.	foo	0
153	Mira condemned Terry for the accident.	foo	1
154	We investigated the area for bombs.	foo	1
155	I sensed his eagerness.	foo	1
156	They praised the dedication in the volunteers.	foo	0
157	The earth was believed to be round.	foo	1
158	Sarah smiled a charming smile.	foo	1
159	Sandra beamed a cheerful welcome.	foo	1
160	You've really lived it up.	foo	1
161	Paperback books lift onto the table easily.	foo	0
162	The books lifted onto the table.	foo	0
163	Jessica loaded boxes under the wagon.	foo	1
164	Jessica loaded boxes on the wagon.	foo	1
165	Jessica crammed boxes at the truck.	foo	0
166	Lora buttered at the toast.	foo	0
167	Carla shoveled the walk.	foo	1
168	Nora sent the book.	foo	1
169	Nora sent Peter the book.	foo	1
170	Carla slid the book.	foo	1
171	Carla slid at the book.	foo	0
172	Amanda carried the package to Pamela.	foo	1
173	Packages drive easily to New York.	foo	0
174	The chair pushed.	foo	0
175	We offered a job to her.	foo	1
176	A job offered.	foo	0
177	Brown presented a plaque to Jones.	foo	1
178	Carmen bought Mary a dress.	foo	1
179	Carmen obtained the spare part at the hardware store.	foo	1
180	Michelle kept the desk with the papers.	foo	0
181	Frances hid the presents in the drawer.	foo	1
182	The needle poked the cloth.	foo	1
183	Carrie touched that cat.	foo	1
184	Herman whipped the sugar and the cream.	foo	0
185	Linda taped the picture to the wall.	foo	1
186	Linda taped the picture onto the wall.	foo	1
187	The child and her mother clung together.	foo	1
188	This flyer and that flyer differ.	foo	1
189	This flyer and that flyer differ apart.	foo	0
190	The jeweller scribbled the contract with his name.	foo	0
191	The gardener grew that acorn into an oak tree.	foo	1
192	I shaped a loaf.	foo	0
193	The children amused.	foo	0
194	Susan whispered the news.	foo	1
195	Susan whispered at Rachel.	foo	1
196	Ellen said that melons were selling well.	foo	1
197	Ellen said about the present conditions.	foo	0
198	Ellen warned Helen against skating on thin ice.	foo	1
199	Cynthia nibbled on the carrot .	foo	1
200	Cynthia chewed.	foo	0
201	Paul laughed at Mary.	foo	1
202	Linda winked her lip.	foo	0
203	My heart is pounding me.	foo	0
204	Sharon fainted from hunger.	foo	1
205	The witch poisoned the children.	foo	1
206	A grandfather clock ticked in the hallway.	foo	1
207	I squeaked the door.	foo	0
208	Over the fire there bubbled a fragrant stew.	foo	1
209	Soaring temperatures are predicted for this weekend.	foo	1
210	The fort fluttered with many flags.	foo	0
211	The voices echoed in the hall.	foo	1
212	The stream twists through the valley.	foo	1
213	There presented itself a wonderful opportunity yesterday.	foo	0
214	A wonderful opportunity presented itself to him yesterday.	foo	1
215	Out of the box jumped a little white rabbit.	foo	1
216	Penny skated around the rink.	foo	1
217	Jackie accompanied Rose.	foo	1
218	many information was provided.	foo	0
219	John offers many advice.	foo	0
220	The cake that Jones got was more delicious than the one that Smith got.	foo	1
221	We recommend to eat less cake and pastry.	foo	1
222	I saw that gas can explode.	foo	1
223	He washed her.	foo	1
224	Wash you!	foo	0
225	They have no in.	foo	0
226	Some my jobs are in jeopardy.	foo	0
227	It was the policeman met that several young students in the park last night.	foo	0
228	did the policeman meet in the park?	foo	1
229	John put old books in the box.	foo	1
230	The monkeys proud of their leader.	foo	0
231	John sounded very.	foo	0
232	I don't know if I should agree.	foo	1
233	John bought a book on the table.	foo	1
234	John called the president a fool.	foo	1
235	I forgot how good beer tastes.	foo	1
236	This teacher is a genius.	foo	1
237	A good friend is remained to me by him.	foo	0
238	John ate his noodle quietly.	foo	1
239	A smith hammered the metal.	foo	1
240	Sandy removed her ballet shoes.	foo	1
241	This week will be a difficult one for us.	foo	1
242	Benny worked in a shoe factory when he was a student.	foo	1
243	Everyone hoped that she would sing.	foo	1
244	This proved a decisive factor.	foo	1
245	The crocodile devoured the doughnut.	foo	1
246	John is afraid of Bill.	foo	1
247	John put under the bathtub.	foo	0
248	John placed Kim behind the garage.	foo	1
249	Kim depends for Sandy.	foo	0
250	John put the book in the box.	foo	1
251	John taught English Syntax to new students.	foo	1
252	John regards Bill as a good friend.	foo	1
253	Kim put in the box.	foo	0
254	The chickens seem fond of the farmer.	foo	1
255	The rules require that the executives be polite.	foo	1
256	That Fred was unpopular nominated Bill.	foo	0
257	They were taking a hard look at possible FTA.	foo	1
258	John paid me against the book.	foo	0
259	The committee will study the feasibility of setting up a national computer network.	foo	1
260	We made them be rude.	foo	1
261	After reading the pamphlet, Judy threw it into the garbage can.	foo	1
262	Students studying English reads Conrad's Heart of Darkness while at university.	foo	0
263	I read some of the book.	foo	1
264	Most of the fruit is rotten.	foo	1
265	Neither of students failed.	foo	0
266	I drank some of water.	foo	0
267	It is a golden hair.	foo	1
268	The boy in the doorway waved to his father.	foo	1
269	That dog is so ferocious, it even tried to bite itself.	foo	1
270	He washed yourself.	foo	0
271	John is easy to please Kim.	foo	0
272	There seemed to be intelligent.	foo	0
273	John tried to please Stephen.	foo	1
274	We believed John to be a fountain in the park.	foo	0
275	It tries to leave the country.	foo	0
276	John tries to leave the country.	foo	1
277	Under the bed seems to be a fun place to hide.	foo	1
278	There is believed to be sheep in the park.	foo	0
279	I hope to would study in France.	foo	0
280	John can kick the ball.	foo	1
281	John will rain tomorrow.	foo	0
282	We expect there to will rain.	foo	0
283	John was found in the office.	foo	1
284	Did the child be in the school?	foo	0
285	It did not rain.	foo	1
286	John wants not to leave the town.	foo	1
287	Mary likes to tour art galleries, but Bill hates to.	foo	1
288	They needn't take this exam.	foo	1
289	Ann may spend her vacation in Italy.	foo	1
290	They love to play golf, but I do not.	foo	1
291	George has spent a lot of money, hasn't he?	foo	1
292	As a statesman, scarcely could he do anything worth mentioning.	foo	1
293	We never found any of the unicorns.	foo	1
294	One of Korea's most famous poets wrote these lines.	foo	1
295	Somebody apparently struck the unidentified victim during the early morning hours.	foo	1
296	The car was driven.	foo	1
297	Ricky can be relied on.	foo	1
298	The bed was slept in.	foo	1
299	A pound was weighed by the book.	foo	0
300	Who do you think Tom saw?	foo	1
301	he had spent five thousand dollars.	foo	1
302	Fed knows which politician her to vote for.	foo	0
303	How did you guess that he fixed the computer?	foo	1
304	The committee knows whose efforts to achieve peace the world should honor.	foo	1
305	Which house does your friend live?	foo	0
306	the baker from whom I bought these bagels left.	foo	1
307	I found the place where we can relax.	foo	1
308	Jack is the person with whom Jenny fell in love with.	foo	0
309	There is a bench to sit on.	foo	1
310	I met the man who grows peaches.	foo	1
311	Which topic did you choose without getting his approval?	foo	1
312	Which topic did you get bored because Mary talked about?	foo	0
313	That is the reason why he resigned.	foo	1
314	It bothers me that John coughs.	foo	1
315	To please John is easy.	foo	1
316	Kim is eager to please Tom.	foo	1
317	That we invaded Iraq really bites.	foo	1
318	It annoys me that Fido barks.	foo	1
319	Who achieved the best result was Angela.	foo	0
320	It was the peasant girl who got it.	foo	1
321	That kind of person is hard to find anyone to look after.	foo	1
322	A sick owl doesn't hunt mice.	foo	1
323	Each candidate who has interest in semantics will be admitted to the department.	foo	1
324	Each author whose contribution is written in any language other than English will provide a summary in English.	foo	1
325	I'm sure we even got these tickets!	foo	1
326	I'm even sure we got these tickets!	foo	1
327	It's not because I have any sympathy for urban guerillas that I helped him.	foo	1
328	It isn't because Sue said anything bad about me that I'm angry.	foo	1
329	That he was hungry, John whined.	foo	0
330	1 gave Mary after the party a book.	foo	0
331	Because she's so pleasant, as for Mary I really like her.	foo	0
332	Though he may hate those that criticize Carter, it doesn't matter.	foo	1
333	With no job would John be happy.	foo	1
334	I have much of the manuscript left to type.	foo	1
335	He's a more reliable man.	foo	1
336	Any trouble is what I don't want.	foo	0
337	They may grow as high as bamboo.	foo	1
338	Some of them made as many errors as 20.	foo	1
339	Sally kissed himself.	foo	0
340	Drew believes I think Rosie loves magazine ads.	foo	1
341	Dave, Dan, Erin, Jaime, and Alina left.	foo	1
342	Hopefully, we'll make it through the winter without snow.	foo	1
343	Blue leather shows herself that Betsy is pretty.	foo	0
344	Gwen hit the baseball.	foo	1
345	I hit that you knew the answer.	foo	0
346	I've lost my wallet or I've lost my mind.	foo	1
347	It was a brand new car that he bought.	foo	1
348	He likes cookies and he hates crumb cake.	foo	1
349	They chased the man with the car.	foo	1
350	I didn't have a red cent.	foo	1
351	the book of poems and from Blackwell takes a very long time to read.	foo	0
352	the one with a red cover takes a very long time to read.	foo	1
353	John has a fear of dogs.	foo	1
354	The building's the roof is leaking.	foo	0
355	the panther's the coat is dark black.	foo	0
356	Colin asked if they could get a mortgage.	foo	1
357	The man I saw get into the cab robbed the bank.	foo	1
358	I know you eat asparagus.	foo	1
359	John's drum will always bother me.	foo	1
360	An evil thought struck Dave.	foo	1
361	In the classroom John put the book on the table.	foo	1
362	Phillip gave the medal to the soldier.	foo	1
363	Heidi thinks that Andy to eat salmon flavored candy bars.	foo	0
364	Heidi thinks that Andy should eat salmon flavored candy bars.	foo	1
365	He danced.	foo	1
366	Did Calvin his homework?	foo	0
367	Sylvia was slapping Jeff upside the head in martial arts class.	foo	1
368	If I am a rich man, I'd buy a diamond ring.	foo	0
369	If he were a rich man, he'd buy a diamond ring.	foo	1
370	John is likely to leave.	foo	1
371	The manager laughed.	foo	1
372	Was sunk.	foo	0
373	Who did you think kissed the gorilla?	foo	1
374	Have you seen my model airplane collection?	foo	1
375	It seems that Lucy was mugged.	foo	1
376	I ate a salad that was filled with lima beans.	foo	1
377	There were four men arriving at the station when I pulled up.	foo	1
378	Jean is reluctant to dance.	foo	1
379	I want her to dance.	foo	1
380	Jean persuaded Robert.	foo	1
381	Jean wants Bill to do the Macarena.	foo	1
382	The children admire their mother.	foo	1
383	Who has Peter talked with?	foo	1
384	Heidi likes her violin.	foo	1
385	John thinks that Mary loves himself.	foo	0
386	Which pictures of himself does John like?	foo	1
387	Any owl hunts mice.	foo	1
388	Any man didn't eat dinner.	foo	0
389	A pilot could be flying this plane.	foo	1
390	Everybody who attended last week's huge rally, whoever they were, signed the petition.	foo	1
391	Anybody who attended last week's huge rally signed the petition.	foo	1
392	Any tiger has orange fur, marked with black stripes.	foo	1
393	Any albino tiger has orange fur, marked with black stripes.	foo	1
394	You must pick any flower you see.	foo	1
395	Any pilot on duty today could be flying this plane.	foo	1
396	You may pick every flower, but leave a few for Mary.	foo	0
397	The Dodgers beat the Red Sox and were beaten by the Giants.	foo	1
398	In which car was the man seen?	foo	1
399	The man who Mary loves and Sally hates computed my tax.	foo	1
400	The kennel which Mary made and Fido sleeps has been stolen.	foo	0
401	Tom said he would and Bill actually did eat a raw eggplant.	foo	1
402	The wealthy young man bought that piano for his secret fianc̩e.	foo	1
403	The dog stole the turkey.	foo	1
404	a tall building.	foo	1
405	This building is tall.	foo	1
406	I like the book which you gave me.	foo	1
407	Captain Wentworth wrote a letter to Anne Elliott.	foo	1
408	She asked was Alison coming to the party.	foo	1
409	They realised that never had Sir Thomas been so offended.	foo	1
410	Fanny regretted having to talk to Aunt Norris.	foo	1
411	Knowing the country well, he took a short cut.	foo	1
412	He left the train with somebody else's wallet in his pocket.	foo	1
413	Magnus went to Ireland.	foo	1
414	Who did John send the book?	foo	1
415	The idea dismayed the Prime Minister that the Dome was dull.	foo	1
416	Came right in he did without so much as a knock.	foo	1
417	Harriet admired Mr Knightley.	foo	1
418	The book is boring.	foo	1
419	Ethel wishes to ask you some awkward questions.	foo	1
420	Emma made Harriet some food.	foo	1
421	The window was broken with a hammer.	foo	1
422	The fugitive lay motionless in order to avoid discovery.	foo	1
423	The guard marched the prisoners round the yard.	foo	1
424	Frank Churchill crossed the street.	foo	1
425	Emma and Harriet were attacked yesterday.	foo	1
426	Fiona might be here by 5 o'clock.	foo	1
427	I am both expecting to get the job and of the opinion that it is a desirable one.	foo	1
428	Pat was awarded the Golden Fleece Award and very upset about it.	foo	1
429	Kim alienated cats and beating his dog.	foo	0
430	They knew that pictures of each other would be on sale.	foo	1
431	Which article did Terry file papers without reading?	foo	0
432	I want to try and buy some whiskey.	foo	1
433	She goes and buying some whiskey.	foo	0
434	Kim and Terry is happy.	foo	0
435	Kim gave a dollar to Bobbie and a dime to Jean.	foo	1
436	This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow.	foo	1
437	Put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.	foo	0
438	Picture of Bill, this girl in the red coat will put a picture of Bill on your desk before tomorrow.	foo	0
439	Ann bought a first edition of Richard III for $1000.	foo	1
440	John became deadly afraid of flying.	foo	1
441	What John promised is to be gentle.	foo	1
442	Henri wants to buy which books about cooking?	foo	1
443	I will fix the computer for Carol.	foo	1
444	Smith loaned a valuable collection of manuscripts to the library.	foo	1
445	The paper is cut by Mary.	foo	1
446	It was from six to nine or it took place from six to nine.	foo	1
447	Suddenly, there arrived two inspectors from the INS.	foo	1
448	The soup cooks, thickens.	foo	1
449	I gave money to the charity.	foo	1
450	John asked.	foo	1
451	I saw even the student.	foo	1
452	John whispered Mary left.	foo	0
453	Mary wonders that Bill will come.	foo	0
454	Sophie will theater.	foo	0
455	John finished the cake and drank the lemonade.	foo	1
456	Herself likes Mary's mother.	foo	0
457	Each of the boys fought with some of the other boys.	foo	1
458	John's mother likes himself.	foo	0
459	Mary revealed himself to John.	foo	0
460	Mary believes that Bill saw himself.	foo	1
461	John heard that they criticized themselves.	foo	0
462	Mary thinks that she is smart.	foo	1
463	Henry found that Bill is sad.	foo	1
464	John considers himself proud of Mary.	foo	1
465	You should sit before there.	foo	0
466	There is a nurse available.	foo	1
467	Everyone hopes everyone to sleep.	foo	0
468	Everyone hopes that he will sleep.	foo	1
469	Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.	foo	0
470	John promise Mary to shave himself.	foo	1
471	John convinced Bill that Mary should sleep.	foo	1
472	I saw Bill while you did so Mary.	foo	0
473	What Mary did Bill was give a book.	foo	0
474	The bears sniffed	foo	1
475	to steal talismans from witches is dangerous	foo	1
476	Anson demonized	foo	0
477	You kicked yourselves	foo	1
478	The book that I said that I'd never read.	foo	1
479	Anson demonized up the Khyber	foo	0
480	It is not true that I might be going to the party.	foo	1
481	Kick you!	foo	0
482	Jason persuaded the doctor to treat Medea	foo	1
483	Who did you get an accurate description of?	foo	1
484	The Peter we all like was at the party	foo	1
485	The government's imposition of a fine.	foo	1
486	Did Athena help us?	foo	1
487	You wanted to meet the man I saw.	foo	1
488	Anson demonized David every day	foo	1
489	There is a programme about Euripides on a Radio 4 tonight?	foo	1
490	Medea denied poisoning the phoenix.	foo	1
491	The elixir was hidden in a hole in the ground	foo	1
492	Extremely frantically, Anson danced at Trade	foo	1
493	What did you ask who Medea gave?	foo	0
494	It's Anson that I like	foo	1
495	Medea tried the nurse to poison her children.	foo	0
496	I felt that I know you.	foo	1
497	Will he can do it?	foo	0
498	I ate that she was happy	foo	0
499	Anson believed himself to be handsome.	foo	1
500	We arrived about six o'clock	foo	1
501	Gilgamesh is having fought the dragon.	foo	0
502	Anson thought that himself was happy.	foo	0
503	Fortunately Hermione passed biology	foo	1
504	I might be not going to the party but washing my hair	foo	1
505	I thought he liked myself	foo	0
506	The butler sent the poison to Dinah.	foo	1
507	Jason happens to appear to seem to be sick.	foo	1
508	What did you ask who saw?	foo	0
509	We linguists love to argue	foo	1
510	He can will go	foo	0
511	How fierce the battle?	foo	0
512	Which king did you ask which city invaded?	foo	0
513	It is some disgruntled old pigs in those ditches that humans love to eat.	foo	1
514	That banana is eating the monkey.	foo	1
515	Burn them!	foo	1
516	It stinks that Aphrodite is omnipotent.	foo	1
517	Agamemnon seems to be a maniac	foo	1
518	Will Anson come to the party?	foo	1
519	I wondered who Medea had poisoned.	foo	1
520	I inquired when could we leave.	foo	0
521	They kicked them	foo	1
522	The monkey is ate the banana	foo	0
523	I would like to could swim	foo	0
524	I kicked myself	foo	1
525	The bookcase ran	foo	0
526	I shaved myself.	foo	1
527	Anson became a muscle bound.	foo	0
528	Somebody just left - guess who.	foo	1
529	They claimed they had settled on something, but it wasn't clear what they had settled on.	foo	1
530	If Sam was going, Sally would know where.	foo	1
531	They're going to serve the guests something, but it's unclear what.	foo	1
532	She's reading. I can't imagine what.	foo	1
533	John said Joan saw someone from her graduating class.	foo	1
534	John ate dinner but I don't know who.	foo	0
535	She mailed John a letter, but I don't know to whom.	foo	0
536	I served leek soup to my guests.	foo	1
537	I served my guests.	foo	1
538	She was bathing, but I couldn't make out who.	foo	0
539	She knew French for Tom.	foo	0
540	John is tall on several occasions.	foo	0
541	The ship sank, but I don't know with what.	foo	0
542	They noticed the painting, but I don't know for how long.	foo	0
543	John was tall, but I don't know on what occasions.	foo	0
544	Joan ate dinner with someone but I don't know who.	foo	1
545	Joan ate dinner with someone but I don't know who with.	foo	1
546	I know that Meg's attracted to Harry, but they don't know who.	foo	0
547	Since Jill said Joe had invited Sue, we didn't have to ask who.	foo	0
548	I know that Meg's attracted to Harry, but they don't know who.	foo	1
549	She said she had spoken to everybody, but he wasn't sure who.	foo	0
550	Each of the performers came in, but were sitting so far back that we couldn't see who.	foo	0
551	She didn't talk to one student.	foo	1
552	She doesn't meet anyone for dinner, but they can't figure out who.	foo	0
553	Everyone relies on someone. It's unclear who.	foo	1
554	Each student wrote a paper on a Mayan language, but I don't remember which one.	foo	1
555	The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.	foo	1
556	The newspaper has reported that they are about to appoint someone, but I can't remember who they are about to appoint.	foo	1
557	Most columnists claim that a senior White House official has been briefing them, and the newspaper today reveals which one.	foo	1
558	Most columnists claim that a senior White House official has been briefing them, but none will reveal which one.	foo	1
559	Bill wondered how many papers Sandy had read, but he didn't care which ones.	foo	1
560	I never know which papers Sandy has read, but I usually know how many.	foo	1
561	Sandy had read how many papers?!	foo	1
562	Everybody gets on well with a certain relative, but often only his therapist knows which one.	foo	1
563	Which book did each author recommend?	foo	1
564	His or her least known work.	foo	1
565	They were going to meet sometime on Sunday, but the faculty didn't know when.	foo	1
566	John likes some students, but I don't know who.	foo	1
567	I don't know who John likes.	foo	1
568	John likes some students, but I don't know who John likes some students.	foo	0
569	Joan said she talked to the students, but Fred couldn't figure out who.	foo	0
570	He announced he had eaten the asparagus, but we didn't know what.	foo	0
571	She was reading the books under the table, but Fred didn't know what books.	foo	1
572	He announced he would marry the woman he loved most, but none of his relatives could figure out who.	foo	1
573	She talked to John or Mary but I don't know which.	foo	1
574	She talked to John or Mary but I don't know which one.	foo	1
575	She talked to Harry, but I don't know who else.	foo	1
576	I will see them, but I don't know how many of them.	foo	1
577	Everyone who knows either Susan or Laura likes her.	foo	1
578	She said she talked to three students but I don't know how many.	foo	0
579	She said she talked to those students but I don't know how many.	foo	0
580	He shouted again, but I don't know who to.	foo	1
581	She was dancing with somebody, but I don't know who with.	foo	1
582	Several firefighters were injured, but it's not known.	foo	1
583	Meg is attracted to Harry, but they don't know who she is attracted to.	foo	1
584	Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one.	foo	1
585	Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one she was trying to work out which students would be able to solve.	foo	0
586	John and someone were dancing together, but I don't know who.	foo	0
587	The TA's have been arguing about whether some student or other should pass, but I can't now remember which one.	foo	1
588	It has been determined that somebody will be appointed; it's just not clear yet who.	foo	0
589	Sally asked if somebody was going to fail math class, but I can't remember who.	foo	0
590	The TA's have been arguing about whether some student or other should pass, but I can't now remember which one.	foo	0
591	Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which.	foo	1
592	Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us in which way.	foo	1
593	Clinton is anxious to find out which budget dilemmas Panetta would be willing to tackle in a certain way, but he won't say in which.	foo	1
594	Sandy is wondering whether there will be students who have to drop the class for a certain reason, but she won't reveal what.	foo	1
595	In which way is Sandy very anxious to see if the students will be able to solve the homework problem?	foo	0
596	In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve?	foo	0
597	I know how many assignments I've graded, but I don't know how many Bill has.	foo	1
598	What did you leave before they did?	foo	0
599	What did you leave before they started playing?	foo	0
600	Sandy was trying to work out which students would be able to solve a certain problem.	foo	1
601	The administration has issued a statement that it is willing to meet with one of the student groups.	foo	1
602	Sandy was trying to work out which students would be able to solve a problem.	foo	1
603	The administration has issued a statement that it is willing to meet a student group.	foo	1
604	The administration has issued a statement that it is willing to meet a student group, but I'm not sure which one.	foo	1
605	I think Agnes said that Bill would speak, but I don't remember what about.	foo	1
606	Agnes wondered how John could eat but it's not clear what.	foo	0
607	Tony sent Mo a picture that he painted, but it's not clear with what.	foo	0
608	She's been dancing but we don't know with whom.	foo	1
609	Who did they see someone?	foo	0
